GL-000024	NSCLC SOC Genes
GL-000218	Perry syndrome_CE
GL-000219	Charcot-Marie-Tooth disease_NP
GL-000220	Dilated cardiomyopathy, hypertrophic cardiomyopathies and muscular dystrophies_CE
GL-000221	Shwachman-Diamond syndrome and severe congenital neutropenias_CE
GL-000222	Ichthyosis_CE
GL-000224	Ehlers-Danlos syndrome_CE
GL-000225	3-M syndrome_CE
GL-000226	GLUT1 deficiency syndrome_NP
GL-000228	Conradi-Hünermann-Happle syndrome_CE
GL-000229	Pseudoaldosteronism_CE
GL-000233	Skeletal disorders and all neuromuscular disorders_CE
GL-000234	Hereditary gastrointestinal and renal cancer predisposition test
GL-000235	Microcephaly and lissencephaly_CE
GL-000236	Fragile X syndrome, intellectual disability and autism spectrum disorders_CE
GL-000237	Ataxia-telangiectasia_CE
GL-000238	Sengers syndrome, congenital cataract and hypertrophic cardiomyopathies_CE
GL-000239	ACMG_CE
GL-000241	Liver cirrhosis and hepatosplenomegaly_CE
GL-000242	Lowe syndrome_RD
GL-000243	Neurological disorders_STRAN-3679_CE
GL-000245	Hereditary neurological cancer and inherited cancer syndrome predisposition test
GL-000246	Skeletal dysplasias and hydrops fetalis_CE
GL-000248	Skeletal dysplasias and hydrops fetalis-v2_CE
GL-000249	Neurocognitive disorders and hypothyroidism_for STRAN-000003679_CE
GL-000252	Mowat-Wilson syndrome_RD
GL-000253	Osteopetrosis_RD
GL-000255	Rickets and skeletal dysplasia_CE
GL-000257	Enlarged vestibular aqueduct_CE
GL-000258	Hereditary breast cancer predisposition test (12 gene test for male patients)
GL-000259	Hereditary fructose intolerance and glycogen storage diseases_CE
GL-000260	Prostrate cancer and ACMG cardio genes_CE
GL-000261	Hemophilia and muscular dystrophies_CE
GL-000262	Swyer syndrome, ovarian dysgenesis and deafness_CE
GL-000263	Hereditary breast, ovarian, gynecological, nervous system cancers and inherited cancer syndrome predisposition test
GL-000266	Diamond-Blackfan syndrome_CE
GL-000268	Hyperoxaluria_CE
GL-000269	Hereditary breast, ovarian and renal cancer predisposition test
GL-000270	Bardet-Biedl syndrome-differential diagnosis_CE
GL-000271	Bronchiectasis and respiratory tract infections_CE
GL-000273	Inborn errors of metabolism, primary immunodeficiency and related disorders_CE
GL-000275	Multiple acyl CoA dehydrogenase deficiency_CE
GL-000276	Mucolipidosis_CE
GL-000277	Splastic paraplegia associated ataxia_CE
GL-000284	Nephrotic syndrome and focal segmental glomerulosclerosis_RD
GL-000285	Hereditary breast, ovarian and gynecological cancer predisposition test_without STK11
GL-000286	Tay-Sachs disease_RD
GL-000287	Phenylketonuria_RD
GL-000288	Inborn errors of metabolism and CFTR related disorders_CE
GL-000289	NPHS2-related focal segmental glomerulosclerosis_RD
GL-000290	Inborn errors of metabolism, primary immunodeficiency and CFTR related disorders_CE_suspended
GL-000291	Marfan syndrome_CE
GL-000292	Joubert syndrome_NP
GL-000293	Hereditary prostate cancer predisposition test.
GL-000294	Inborn errors of metabolism, primary immunodeficiency and CFTR-related disorders_CE
GL-000295	Molybdenum cofactor deficiency_CE
GL-000296	Leukodystrophies and molybdenum cofactor deficiency_CE
GL-000298	Choroideremia_CE
GL-000303	Glutaric acidemia type I_RD
GL-000305	Hereditary gastrointestinal and endocrine cancer predisposition test
GL-000308	Hypophosphatemic rickets_CE
GL-000310	Severe congenital neutropenias_CE_suspended
GL-000311	Cleidocranial dysplasia_CE
GL-000312	Very long-chain acyl-CoA dehydrogenase deficiency_CE
GL-000314	Hereditary breast, ovarian and endocrine cancer predisposition test
GL-000315	Wolman disease and glycogen storage diseases_CE
GL-000316	Osteopetrosis_CE
GL-000318	Nephrotic syndrome and medium chain acyl dehydrogenase deficiency_CE
GL-000320	Barakat syndrome and nephrotic syndrome_CE
GL-000322	Retinoschisis_CE
GL-000323	Alport syndrome_RD
GL-000324	Addison's disease_CE
GL-000325	Alacrima_CE
GL-000327	Krabbe disease, Tay-Sachs disease and hyperekplexia_CE
GL-000328	Hereditary breast, ovarian, gastrointestinal, endocrine cancer and inherited cancer syndrome predisposition test
GL-000329	Hereditary breast, ovarian, gynecolgical, endocrine cancer and inherited cancer syndrome predisposition test
GL-000330	Lissencephaly and microcephaly_CE
GL-000332	Oculofaciocardiodental syndrome_CE
GL-000333	Androgen insensitivity syndrome_CE
GL-000334	Familial exudative vitreoretinopathy_CE
GL-000335	Sjogren-Larsson syndrome_CE
GL-000336	Polycystic kidney disease_RD
GL-000338	Congenital disorders of glycosylation, muscular dystrophies and congenital myopathies_CE
GL-000341	Neuronal ceroid lipofuscinosis and ataxia_CE
GL-000343	Alternating hemiplegia of childhood_CE-suspend
GL-000344	All IEM-v2_CE
GL-000346	Alpers-Huttenlocher syndrome_RD
GL-000347	Nijmegen breakage syndrome_CE
GL-000348	Deafness and organic acidemias_CE
GL-000352	Congenital myasthenic syndrome_CE
GL-000353	Wolman disease, glycogen storage diseases and hereditary fructose intolerance_CE
GL-000354	Microphthalmia and congenital cataract_CE
GL-000356	Ornithine transcarbamylase deficiency_CE
GL-000357	Hereditary breast, ovarian, gynecological, gastrointestinal, endocrine, nervous system cancers and cancer syndrome predisposition test
GL-000358	Microphthalmia and cataract_CE
GL-000359	Hereditary endocrine, gynecolgical, gastrointestinal cancer and inherited cancer syndrome predisposition test
GL-000360	Hereditary breast, ovarian and nervous system cancer predisposition test
GL-000361	Hereditary breast cancer, ovarian cancer, gynecological cancer and inherited cancer syndrome predisposition test
GL-000362	Hereditary breast, ovarian, gynecological, gastrointestinal, endocrine cancer and inherited cancer syndrome predisposition test
GL-000363	Hereditary breast, ovarian, gynecological, gastrointestinal, endocrine cancer, melanoma and inherited cancer syndrome predisposition test
GL-000364	Hereditary gastrointestinal cancer, skin cancer and inherited cancer syndrome predisposition test
GL-000365	Fatty acid oxidation defects_CE-susp
GL-000367	Hereditary breast, ovarian, gastrointestinal cancer and inherited cancer syndrome predisposition test
GL-000370	Bartter syndrome_CE
GL-000374	Steatosis_CE
GL-000376	Microcephaly, epilepsy and spastic paraplegia_CE
GL-000377	GLUT1 deficiency syndrome and epileptic encephalopathy_CE
GL-000378	Epilepsy and inborn errors of metabolism_CE
GL-000379	Congenital myasthenic syndrome_RD
GL-000380	Ciliary dyskinesia_CE
GL-000381	Ciliary dyskinesia, primary immunodeficiency and related disorders-v4_CE
GL-000382	Chromosomal breakage syndrome_CE
GL-000383	CCDC40-related ciliary dyskinesia_CE
GL-000386	Primary immunodeficiency and related disorders-case specific_CE
GL-000388	Cataract_RD
GL-000404	Marfan syndrome and related disorders_CE
GL-000405	Hereditary prostate and gastrointestinal cancer predisposition test_ATM
GL-000406	Lowe syndrome_CE
GL-000407	Waardenburg syndrome_CE-susp
GL-000408	Macular dystrophy_CE
GL-000411	3-M syndrome and muscular dystrophies_CE
GL-000413	Carbohydrate metabolism defects_CE
GL-000414	Dystonia, dysarthria and ataxia_CE
GL-000416	Hereditary breast, ovarian, nervous system and inherited cancer syndrome predisposition test_without STK11
GL-000418	Pulmonary arterial hypertension_CE
GL-000419	Charcot-Marie-Tooth disease and neuropathies_CE
GL-000420	Cystinuria_CE
GL-000423	Microcephalic osteodysplastic primordial dwarfism type II_CE
GL-000426	Cockayne syndrome_CE
GL-000427	Microcephaly and cataract_CE
GL-000428	Seckel syndrome and microcephalic osteodysplastic primordial dwarfism type II_CE
GL-000429	Ehlers-Danlos syndrome, deafness, vitiligo and hypertriglyceridemia_CE
GL-000430	Niemann-Pick disease_CE
GL-000431	Shwachman-Diamond syndrome_CE
GL-000432	Primary immunodeficiency and related disorders-v3_CE
GL-000433	GM2-gangliosidosis_CE
GL-000434	Hereditary breast, ovarian, gastrointestinal and neurological cancer predisposition test
GL-000435	Hereditary breast, ovarian, gastrointestinal and skin cancer and inherited cancer syndrome predisposition test
GL-000436	Hereditary gastrointestinal cancer, renal cancer and skin cancer predisposition test
GL-000437	Oculocutaneous albinism_CE
GL-000438	Macular dystrophy and retinitis pigmentosa_CE
GL-000439	Metachromatic leukodystrophy_CE
GL-000441	GM1 gangliosidosis_CE
GL-000444	Pontocerebellar hypoplasia and arthrogryposis_CE
GL-000448	Cataract-microcornea syndrome_CE
GL-000450	Skeletal dysplasia_v2_CE
GL-000451	Harlequin ichthyosis_CE
GL-000457	Long QT syndrome-v2_CE
GL-000458	CAP-Proficiency testing-Clinical Exome
GL-000462	Hereditary endocrine and rare cancer predisposition test
GL-000463	Congenital myasthenic syndrome, muscular dystrophies, congenital myopathies and neuropathies_CE
GL-000464	Skin and connective tissue related disorders_CE
GL-000466	Congenital myasthenic syndrome, neuropathies and congenital myopathy_CE
GL-000467	Congenital bilateral absence of the vas deferens_CE
GL-000469	Primary immunodeficiency and related disorders-STRAN-000004599_CE
GL-000471	Hereditary fructose intolerance_RD
GL-000472	Striatonigral degeneration_RD
GL-000473	PTEN hamartoma tumor syndrome predisposition test
GL-000474	Tay-Sachs disease_CE
GL-000475	Hereditary breast, ovarian, gynecological, gastrointestinal and endocrine cancer predisposition
GL-000476	Aicardi-Goutieres syndrome, methylmalonic acidemia, glutaric acidemia and mitochondrial disorders_CE
GL-000477	Hereditary gastrointestinal and rare cancers predisposition test
GL-000478	Myotonia and congenital myopathies_CE
GL-000481	Hereditary spastic paraplegia and dystonia_CE
GL-000482	Wiskott-Aldrich syndrome and hereditary hemorrhagic telangiectasia_CE
GL-000486	Microphthalmia and microcornea_CE
GL-000487	Cystic renal disease and skeletal disorders_CE
GL-000488	Hereditary nervous system cancer and cancer syndrome predisposition test
GL-000489	Thrombocytopenia and disorders of vitamin B12 deficiency_CE
GL-000491	Glaucoma_CE_susp
GL-000492	Amino acid and peptide metabolism_CE
GL-000493	Malignant hyperthermia_CE
GL-000494	Cholestasis and malignant hyperthermia_CE
GL-000495	Moyamoya disease_CE
GL-000497	Gaucher disease, CDG, GSD, HLH, CF and nephrotic syndrome_CE
GL-000498	Cardiomyopathies_CE
GL-000499	Lowe syndrome and related disorders_CE
GL-000500	Ataxia and related disorders_CE
GL-000501	Aarskog-Scott syndrome_CE
GL-000503	Inborn errors of metabolism and cardiac disorders_CE
GL-000504	Wilson disease_CE
GL-000505	Kabuki syndrome_CE
GL-000507	Cerebellar hypoplasia, microcephaly and epilepsy_CE
GL-000508	Renal tubular acidosis and microcephaly_CE
GL-000511	Crigler-Najjar syndrome_CE
GL-000512	WAS, HHT, and primary immunodeficiency and related disorders_CE
GL-000513	Renal aplasia_CE
GL-000514	Caudal regression syndrome_CE
GL-000515	Microcephaly_CE (Case specific-STRAN-000004755) suspended
GL-000517	Microcephaly_CE (Case specific-STRAN-000004755)
GL-000518	Cystic hygroma_CE
GL-000519	Polyhydramnios_CE
GL-000520	Oligohydramnios_CE
GL-000524	Enterokinase deficiency, hypothyroidism and other disorders_CE
GL-000525	Angelman syndrome_RD
GL-000526	Adrenal hyperplasia and pseudohypoaldosteronism_RD
GL-000527	Pitt-Hopkins syndrome_CE
GL-000528	Nephrotic syndrome and focal segmental glomerulosclerosis_CE_case specific
GL-000529	Joubert syndrome_CE
GL-000530	Ectodermal dysplasia and trichodontoosseous syndrome_CE
GL-000532	Nephrotic syndrome and focal segmental glomerulosclerosis-v3_CE
GL-000534	Cystic renal disease and pulmonary arterial hypertension_CE
GL-000535	Hyperbilirubinemia_CE
GL-000536	Cystic renal disease, skeletal disorders and cardiac disorders_CE
GL-000537	Cerebellar hypoplasia_CE
GL-000538	Renal aplasia and caudal regression syndrome_CE
GL-000539	Krabbe disease_CE
GL-000541	Dyskeratosis congenita-v1_CE
GL-000542	Spinal muscular atrophy_CE
GL-000543	Microcephaly, autism spectrum disorders and intellectual disability_CE
GL-000544	Hereditary gynecological and gastrointestinal cancer predisposition test
GL-000545	Hereditary breast, ovarian, gastrointestinal and rare cancer predisposition test
GL-000546	Cone rod dystrophy_CE
GL-000548	Hereditary breast, ovarian, gynecological and gastrointestinal cancer predisposition test_without STK11
GL-000550	Combined immunodeficiencies_CE_to be suspended
GL-000551	Hereditary cancer predisposition test (ACMG genes)_25 genes
GL-000552	Hereditary spastic paraplegia, epilepsy and neurometabolic disorders_CE
GL-000553	Holoprosencephaly_CE
GL-000554	Tyrosinemia and hepatosplenomegaly_CE
GL-000555	Angelman syndrome, Rett syndrome and Mowat-Wilson syndrome_RD
GL-000557	Cholestasis-v2_CE
GL-000558	Floating-Harbor syndrome and microcephalic osteodysplastic dwarfism II_CE
GL-000559	Sulfite oxidase deficiency_CE
GL-000560	Brain malformations and neuronal ceroid lipofuscinosis_CE
GL-000562	Lysosomal storage disorders_CE_suspended
GL-000563	Rod-cone dystrophy_CE
GL-000564	Cone-rod dystrophy_CE
GL-000566	Hereditary ataxia telangiectasia predisposition test
GL-000567	Glaucoma_CE
GL-000568	Alström syndrome_CE
GL-000569	Ellis-van Creveld syndrome_RD
GL-000571	Muscular dystrophies and mitochondrial DNA depletion syndrome 2, myopathic type_CE
GL-000573	CFTR gene-related disorders_CE
GL-000574	Kidney disorders_CE
GL-000576	Griscelli syndrome_CE
GL-000577	Autism spectrum disorders and neuropathies_CE
GL-000578	Ectodermal dysplasia_CE.
GL-000579	Infantile neuroaxonal dystrophy_RD
GL-000580	Catecholaminergic polymorphic ventricular tachycardia and long QT syndrome_CE
GL-000582	Microcephaly, cataract, dystonia and hypomyelinating disorders_CE
GL-000583	Neurodevelopmental disorders and rickets_CE
GL-000584	Hereditary gastrointestinal cancer, endocrine cancer and cancer syndrome predisposition test
GL-000585	von Hippel-Lindau syndrome predisposition test
GL-000586	Hereditary tuberous sclerosis test
GL-000587	Epilepsy and neuropathies_CE
GL-000588	Macrocephaly, hypomyelinating disorders and glutaric acidemia_CE
GL-000589	Cerebral atrophies_CE
GL-000590	Hereditary renal cancer and inherited cancer syndrome
GL-000591	Hereditary breast, ovarian, gynecological and gastrointestinal_without STK11
GL-000592	Aicardi-Goutieres syndrome_CE
GL-000593	Hereditary breast, ovarian and gastrointestinal cancer predisposition test_without STK11 and RAD51D
GL-000594	Allan-Herndon-Dudley syndrome_CE
GL-000596	Infantile neuroaxonal dystrophy_CE
GL-000597	Achondroplasia_CE
GL-000598	Osteolysis related disorders_CE
GL-000601	Ataxia, epilepsy and cerebral atrophies_CE
GL-000603	Neurotransmitter disorders-v2_CE
GL-000604	Osteomyelitis_RD
GL-000605	Pelizaeus-Merzbacher disease_RD
GL-000606	AAA syndrome_RD
GL-000607	Chondrodysplasia punctata and related disorders_CE
GL-000608	Ectodermal dysplasia and primary ciliary dyskinesia_CE
GL-000609	Tuberous sclerosis_CE
GL-000611	Birt-Hogg-Dubé syndrome predisposition test
GL-000614	Pfeiffer syndrome_CE
GL-000615	Hereditary colorectal cancer predisposition test
GL-000616	Hereditary prostate cancer predisposition test
GL-000617	Hereditary nervous system cancer predisposition test
GL-000618	X-linked chondrodysplasia punctata_CE
GL-000619	Hereditary multiple exostoses predisposition test
GL-000620	Floating-Harbor syndrome_CE
GL-000621	Cyclic neutropenia and common variable immune deficiency_CE
GL-000623	Hereditary cancer predisposition test
GL-000626	Noncirrhotic portal hypertension and skeletal disorders_CE
GL-000627	Hereditary prostate, colorectal and endocrine cancer predisposition test
GL-000628	Abetalipoproteinemia_CE
GL-000631	Hereditary prostate, endocrine and nervous system cancer predisposition test
GL-000632	Spondyloepiphyseal dysplasia congenita_CE
GL-000633	Bloom syndrome and Fanconi anemia_CE
GL-000634	I-cell disease_CE
GL-000635	Acrodysostosis_CE
GL-000636	Polycystic kidney disease and tuberous sclerosis_CE
GL-000637	Beckwith-Wiedemann syndrome_CE
GL-000638	Hereditary breast, ovarian, renal and nervous system cancer predisposition test
GL-000639	Epilepsy_CE_STRAN-5300
GL-000640	GLUT1 deficiency syndrome and pyruvate dehydrogenase deficiency_CE
GL-000641	Biotinidase deficiency and holocarboxylase synthetase deficiency_CE
GL-000642	Hereditary breast, ovarian, prostate and nervous system cancer predisposition test
GL-000643	Hereditary breast, ovarian and colorectal cancer predisposition test
GL-000644	Hydrocephalus_CE
GL-000645	Endocrine cancer and hereditary cancer predisposition test
GL-000646	Congenital heart defects and related disorders_CE
GL-000647	Propionic acidemia_CE
GL-000648	Cardiac and related disorders_CE
GL-000649	Hereditary breast, ovarian and endocrine cancer predisposition test_24Genes
GL-000650	Intellectual disability_CE_STRAN-5225
GL-000651	Immunodeficiencies and primary ciliary dyskinesia_CE
GL-000657	ACMG genes-56_CE
GL-000659	Osteogenesis imperfecta_CE
GL-000661	Sudden cardiac death_CE
GL-000662	Osteogenesis imperfecta and neuropathies_CE
GL-000664	Hereditary breast, ovarian and cancer syndrome predisposition test_old
GL-000665	Disorders of fatty acid and energy metabolism_CE
GL-000666	Mitochondrial myopathy_CE
GL-000667	Joubert syndrome and mitochondrial disorders_CE
GL-000668	Sotos syndrome, congenital myopathy, fragile X syndrome, Marfan syndrome and related disorders_CE
GL-000669	Periodic paralysis_CE
GL-000670	Hereditary colorectal and endocrine cancer predisposition test
GL-000671	Hereditary colorectal, endocrine and nervous system cancer predisposition test
GL-000672	Skeletal disorders and overgrowth syndromes_CE
GL-000673	Hereditary breast and ovarian cancer and hereditary cancer predisposition test
GL-000674	21-hydroxylase deficiency_RD
GL-000675	Rabson-Mendenhall syndrome_RD
GL-000676	Spinal muscular atrophy_CE_STRAN-000005331
GL-000678	Niemann-Pick disease and pyridoxine dependent epilepsy_CE
GL-000679	Hereditary gynecological and hereditary cancer predisposition test
GL-000680	Hereditary breast and ovarian, colorectal, renal, nervous system cancer and other hereditary cancer predisposition test
GL-000684	All cardio-v3_CE
GL-000689	Brugada syndrome and long QT syndrome_CE
GL-000694	Susceptibility to acute infection-induced encephalopathy_CE
GL-000695	Retinitis pigmentosa and cone dystrophy_CE
GL-000696	Epileptic encephalopathy and dystonia_CE
GL-000701	Holoprosencephaly and hypothyroidism_CE
GL-000703	Complex dystonia_CE
GL-000705	Cardiac arrhythmias and related disorders_CE
GL-000706	Hyperparathyroidism-jaw tumor syndrome predisposition test
GL-000707	Epilepsy and susceptibility to acute infection-induced encephalopathy_CE
GL-000710	Hereditary colorectal, endocrine, renal cancer and von Hippel-Lindau syndrome predisposition test
GL-000712	Megalencephalic leukoencephalopathy with subcortical cysts, Canavan disease and Alexander disease_CE
GL-000713	Van der Knaap disease, Canavan disease and Alexander disease_CE
GL-000714	Pantothenate kinase-associated neurodegeneration_RD
GL-000720	Epilepsy, hydrocephalus and susceptibility to acute infection-induced encephalopathy_CE
GL-000722	Neuronal ceroid lipofuscinosis and epilepsy_CE
GL-000723	Dravet syndrome_CE
GL-000724	Neurological disorders and mitochondrial disorders_CE
GL-000726	CADASIL_CE
GL-000727	Merosin deficient congenital muscular dystrophy_CE
GL-000729	Breast, ovarian and hereditary cancer predisposition test
GL-000730	Hereditary breast, ovarian, gynecological and hereditary cancer predisposition test
GL-000731	GNE- related hereditary inclusion body myopathy_CE
GL-000733	Osteogenesis imperfecta and spondylocostal dysostosis_CE
GL-000736	Meckel-Gruber syndrome_CE
GL-000737	Cockayne syndrome and xeroderma pigmentosa_CE
GL-000740	Usher syndrome_CE
GL-000741	Hereditary spastic paraplegia and encephalopathy_CE
GL-000742	Larsen syndrome, hereditary spastic paraplegia and lysosomal storage disorders_CE
GL-000743	Focal segmental glomerulosclerosis, mitochondrial respiratory chain disorders and neuropathies_CE
GL-000745	Canavan disease and Pelizaeus-Merzbacher disease_CE
GL-000746	Dummy_ACMG_test_list
GL-000747	Arthrogryposis_CE
GL-000749	Hereditary rare cancer predisposition test_BWS_SGBS_SOTOS
GL-000750	Hereditary breast, ovarian, gynecological and colorectal cancer predisposition test
GL-000753	Neuronal ceroid lipofuscinosis_CE
GL-000754	Floating-Harbor syndrome and Rubinstein-Taybi syndrome_CE
GL-000756	Polycystic kidney disease, nephrotic syndrome and focal segmental glomerulosclerosis_CE
GL-000759	Hereditary rare cancer predisposition test_FA_SBDS
GL-000762	Ophthalmo-acromelic syndrome_CE
GL-000767	Epilepsy and mitochondrial disorders_CE.
GL-000768	Wilson disease, organic acidemias, glycogen storage diseases and neurodegeneration with brain iron accumulation_CE
GL-000769	GNE-related myopathy_CE
GL-000770	Hereditary prostate and colorectal cancer predisposition test
GL-000774	Nephrotic syndrome_RD
GL-000775	Dihydropyrimidine dehydrogenase deficiency_RD
GL-000776	Polycystic kidney disease, nephrotic syndrome and focal segmental glomerulosclerosis_CE_5743
GL-000777	Hereditary rare cancer predisposition test_FA_SBDS_WITH RUNX1
GL-000778	PKD, FSGS and nephrotic syndrome_CE_5743
GL-000779	Amyotrophic lateral sclerosis_CE
GL-000780	Xeroderma pigmentosum_CE
GL-000783	Ataxia and epilepsy_CE_4620
GL-000784	Omenn syndrome_CE_4620
GL-000785	MODY_CE
GL-000787	Bad obstetric history _CE_4620
GL-000789	Epilepsy, microcephaly and lactic acidemia_CE_4620
GL-000790	Immunodeficiencies and Krabbe disease_CE_4620
GL-000792	Autism spectrum disorders, hereditary spastic paraplegia and epilepsy_CE_4620
GL-000793	Brain malformations and immunodeficiencies_CE_4620
GL-000794	Familial Mediterranean fever and hyper-IgD syndrome_CE_4620
GL-000795	Fibrodysplasia ossificans progressiva_CE_4620
GL-000797	Hereditary breast and colorectal cancer predisposition test (for males)
GL-000798	Disorders of skin pigmentation, hair and nail_CE_4620
GL-000801	Disorders of hair, nail and skin pigmentation_CE_4620
GL-000802	Epilepsy and brain malformations_CE_4620
GL-000803	Immunodeficiencies and primary ciliary dyskinesia_CE_S5824
GL-000804	Hereditary breast and ovarian cancer predisposition test_19 genes
GL-000805	Hereditary breast, ovarian and colorectal cancer predisposition test_19genes
GL-000809	Tetrahydrobiopterin deficiency_CE_4620
GL-000811	Epidermolysis bullosa_CE
GL-000812	Fanconi anemia_CE
GL-000813	Dystrophin related dystrophy_CE
GL-000815	Microphthalmia, optic atrophy, skeletal disorders, ichthyosis and neurological disorders_CE_4620
GL-000817	Hereditary breast, ovarian and gynecological cancer predisposition test_19 genes
GL-000818	Brachytelephalangic chondrodysplasia punctata_CE_4620
GL-000819	Atypical hemolytic uremic syndrome_CE
GL-000820	Hereditary breast, ovarian, colorectal and nervous system cancer predisposition test_19 genes
GL-000821	Lymphedema, osteopetrosis and ectodermal dysplasia_CE_4620
GL-000822	Hereditary spastic paraplegia, mitochondrial disorders and epilepsy_CE_4620
GL-000823	Hereditary breast, ovarian and hereditary cancer predisposition test_19genes
GL-000826	West syndrome_CE
GL-000827	Cystinosis_CE
GL-000830	Glycogen storage diseases and fatty acid oxidation defects_CE_4620
