GL-000024	NSCLC SOC Genes 9	ALK BRAF EGFR ERBB2 KRAS MET PIK3CA RET ROS1
GL-000057	Muscular dystrophies and congenital myopathies_CE 90	ACTA1 ANO5 ATP2A1 B3GNT1 BAG3 BIN1 CAPN3 CAV3 CFL2 CHKB CLCN1 CNTN1 COL12A1 COL6A1 COL6A2 COL6A3 CRYAB DAG1 DES DMD DNAJB6 DNM2 DPM1 DPM3 DYSF EMD FHL1 FKBP14 FKRP FKTN FLNC FRG1 GAA GBE1 GFER GNE HRAS ISCU ISPD ITGA7 KBTBD13 KLHL9 LAMA2 LAMP2 LARGE LDB3 LMNA MATR3 MEGF10 MTM1 MTMR14 MYF6 MYH14 MYH2 MYH7 MYOT NEB OPA1 ORAI1 PABPN1 PHKA1 PLEC PNPLA2 POMGNT1 POMGNT2 POMT1 POMT2 PUS1 PYGM RYR1 SCN4A SEPN1 SGCA SGCB SGCD SGCG SIL1 SUN2 SYNE1 SYNE2 TAZ TCAP TMEM43 TNNT1 TPM2 TPM3 TRIM32 TTN VCP YARS2
GL-000059	Microcephaly_NP 93	ADAR AKT3 ALG12 AP4M1 ARFGEF2 ARID1A ASNS ASPM ATR ATRX BRAT1 BUB1B CASC5 CASK CDC6 CDK5RAP2 CDKL5 CDT1 CENPJ CEP135 CEP152 CEP63 CTSD DIAPH1 DNM1L DPP6 DYNC1H1 DYRK1A EFTUD2 EMG1 ERCC2 ERCC4 ERCC6 ERCC8 ESCO2 IER3IP1 IFIH1 IGF1R KAT6B KIF11 MCPH1 MECP2 MED17 MFSD2A MSMO1 NBN NDE1 NHEJ1 NIPBL NR2E1 OCLN ORC1 ORC4 ORC6 PAFAH1B1 PCNT PHGDH PNKP POMT1 PQBP1 RAB18 RAB3GAP1 RAB3GAP2 RAD21 RBBP8 RNASEH2A RNASEH2B RNASEH2C RPL10 RPS6KA3 SAMHD1 SLC25A19 SLC9A6 SMARCA4 SMARCB1 SMARCE1 SMC1A SMC3 STIL TAF2 TCF4 TRAPPC9 TREX1 TUBA1A TUBB3 TUBGCP4 TUBGCP6 UBE3A VPS13B VRK1 WDR62 WWOX ZEB2
GL-000062	Menkes disease_RD 1	ATP7A
GL-000063	HMG CoA deficiency_CE 2	HMGCL HMGCS2
GL-000065	Hereditary breast, ovarian, nervous system and inherited cancer syndrome predisposition test 33	ALK APC ATM BMPR1A BRCA1 BRCA2 BRIP1 CDH1 CDKN2A CHEK2 MEN1 MLH1 MSH2 MSH6 NBN NF1 NF2 PALB2 PMS2 PTEN RAD51C RAD51D RET SDHB SDHD SMAD4 STK11 SUFU TP53 TSC1 TSC2 VHL WT1
GL-000067	Disorders of sex development-v3_CE 77	AKR1C2 AKR1C4 AR ATRX BMP2 BUB1B C10ORF2 CBX2 CHD7 CYP11A1 CYP11B1 CYP17A1 CYP19A1 CYP21A2 DHCR24 DHCR7 DHH DMPK DMRT1 DYNC2H1 EVC FGD1 FGF8 FGFR1 FRAS1 FREM2 FSHB GNRH1 GNRHR GPC3 GRIP1 HARS2 HBA2 HFE HSD17B3 HSD17B4 HSD3B2 ICK IGF2 INPP5E KAL1 KISS1 KISS1R LARS2 LHB LHCGR MAMLD1 MAP3K1 NDN NEK1 NR3C1 NR5A1 NSMF PAX3 PAX6 POR PROKR2 RIPK4 ROR2 RSPO1 SEMA3A SNRPN SOX10 SOX9 SRD5A2 STAR TAC3 TACR3 TBX3 TNXB TSPYL1 TWIST2 WDR11 WDR35 WNT4 WNT7A ZFPM2
GL-000069	Hereditary endocrine cancer predisposition test 18	AIP ATM BRCA1 BRCA2 CDC73 CDKN2A MEN1 PALB2 PTEN RET SDHAF2 SDHB SDHC SDHD SMAD4 STK11 TP53 VHL
GL-000070	Trichothiodystrophy_CE 6	ERCC2 ERCC3 GTF2H1 GTF2H5 MPLKIP RNF113A
GL-000072	Best disease_CE_suspended 1	BEST1
GL-000073	Adrenal hyperplasia_CE 8	CYP11A1 CYP11B1 CYP17A1 CYP21A2 GNAS HSD3B2 POR STAR
GL-000078	Cystic fibrosis_CE 1	CFTR
GL-000079	Hyper-IgE syndrome_CE 5	DOCK8 DSG1 SPINK5 STAT3 TYK2
GL-000080	Tay-Sachs and Sandhoff disease_CE 2	HEXA HEXB
GL-000081	Ataxia and retinitis pigmentosa_CE 162	ABCA4 ABCB7 ABHD12 ADCK3 AFG3L2 AIPL1 ANO10 APTX ARL6 ATCAY ATM ATP1A3 ATP8A2 ATXN10 ATXN3 BEST1 C10ORF2 C2ORF71 CA4 CA8 CACNA1A CACNB4 CCDC88C CDHR1 CERKL CLN5 CLN6 CLRN1 CNGA1 CNGB1 COQ2 COQ9 CRB1 CRX CYP27A1 DARS2 DHDDS DNAJC19 DNMT1 ELOVL4 EYS FAM161A FASTKD2 FGF14 FLVCR1 FMR1 FSCN2 FXN GJB1 GOSR2 GRM1 GUCA1B HGSNAT IDH3B IFRD1 IMPDH1 IMPG2 ITPR1 KCNA1 KCND3 KCNJ10 KCTD7 KIAA0226 KIF1A KLHL7 LRAT MAK MAN2B1 MECP2 MERTK MRE11A MTPAP MTTP NDUFS7 NKX2 NPC1 NPC2 NR2E3 NRL NUBPL OFD1 OPA1 OPA3 PAX6 PDE6A PDE6B PDE6G PDSS2 PDYN PEX10 PEX16 PEX2 PEX7 PHYH PIK3R5 PLEKHG4 PLP1 PMM2 PNKP PNPLA6 POLG POLR3A POLR3B PRCD PRICKLE1 PRKCG PROM1 PRPF3 PRPF31 PRPF6 PRPF8 PRPH2 PRX PSEN1 RBP3 RDH12 RGR RHO RLBP1 RNF170 ROM1 RP1 RP2 RP9 RPE65 RPGR SACS SAG SCN1A SCN8A SDHA SEMA4A SETX SIL1 SLC1A3 SNRNP200 SPAST SPATA7 SPG7 SPTBN2 SRD5A3 SYNE1 SYT14 TDP1 TGM6 TOPORS TPP1 TRPC3 TTBK2 TTC19 TTC8 TTPA TULP1 USH2A VLDLR WDR81 WFS1 WWOX ZFYVE26 ZFYVE27 ZNF513 ZNF592
GL-000082	Intellectual disability and epilepsy_CE 344	AARS ABCC8 ACSL4 ADNP ADRA2B ADSL AFF2 AFG3L2 AGTR2 AHI1 AKT3 ALDH7A1 ALG13 AMT ANK3 ANKRD11 AP1S1 AP1S2 ARFGEF2 ARHGEF6 ARID1A ARL13B ASAH1 ASNS ATP10A ATP13A2 ATP1A2 ATP1A3 ATP6AP2 ATP7A ATP8A2 ATRX AUTS2 BCAP31 BCOR BRAT1 BRWD3 C12ORF57 CA8 CACNA1A CACNA1G CACNA1H CACNB4 CACNG2 CAMTA1 CASK CASR CBL CBS CC2D1A CC2D2A CDH15 CDKL5 CEP290 CEP41 CHD2 CHKB CHRNA7 CHRNB2 CIC CLCN2 CLIC2 CLN3 CLN5 CLN6 CLN8 CNNM2 CNTNAP2 COL4A1 COL6A2 CPA6 CRADD CRBN CREBBP CRH CSTB CTNNB1 CTSD CUL4B DCAF17 DCX DEAF1 DIP2B DLG3 DMD DNAJC5 DNM1 DOCK8 DPP6 DRD2 DYNC1H1 DYRK1A EFHC1 EFHC2 EFTUD2 EHMT1 EIF2B5 ELK1 ELOVL4 ELP2 ENTPD1 EP300 EPB41L1 ESCO2 FARS2 FASN FGD1 FGFR2 FIG4 FKRP FKTN FLNA FMN2 FMR1 FOLR1 FOXP1 FTSJ1 GABBR1 GABRA1 GABRA6 GABRB3 GABRD GABRG2 GATM GDI1 GFAP GLDC GOSR2 GPC3 GPHN GRIA3 GRIK2 GRIN1 GRIN2A GRIN2B GRM1 GRN HCN1 HDAC4 HDAC8 HEPACAM HNRNPU HPRT1 HSD17B10 HUWE1 IDS IER3IP1 IGBP1 IGF1 IL1RAPL1 INPP5E IQSEC2 IRX5 ISPD JRK KANSL1 KAT6B KCNA1 KCND2 KCNH2 KCNJ10 KCNJ2 KCNK9 KCNMA1 KCNQ2 KCNQ3 KCTD7 KDM5C KIAA1033 KIAA2022 KIF11 KIF1A KIF7 KIRREL3 L1CAM LAMA1 LAMP2 LARGE LGI1 LIAS LMNB2 MAGI2 MAGT1 MAN1B1 MAOA MBD5 MBTPS2 MCPH1 MECP2 MED12 MED23 MEF2C MFSD8 MGAT2 MOCS1 MTHFR NDP NDST1 NEB NEDD4L NEU1 NHLRC1 NID1 NIPBL NLGN4X NR2F1 NRXN1 NSD1 NSDHL NSUN2 NXF5 OCRL OFD1 OMG OPA1 OPHN1 OTC PAFAH1B1 PAK3 PAX6 PCDH19 PCDHB4 PDHA1 PDHX PEX11B PEX7 PGK1 PHF6 PHF8 PIGA PIGL PIGN PIGO PIGV PLP1 PNKP PNPO POGZ POLG POMGNT1 POMT1 POMT2 PORCN POU1F1 PPP1R3C PPP2R1A PPT1 PQBP1 PRICKLE1 PRICKLE2 PRPS1 PRRT2 PRSS12 PSEN1 PTCHD1 PTEN RAB39B RAB3GAP2 RAB40AL RAD21 RBBP8 RBFOX1 RELN ROGDI RPGRIP1L RPS6KA3 RYR3 SACS SATB2 SCARB2 SCN1A SCN1B SCN2A SCN3A SCN4A SCN5A SCN8A SCN9A SERPINI1 SHROOM4 SIL1 SLC16A1 SLC16A2 SLC25A22 SLC2A1 SLC4A4 SLC6A1 SLC9A6 SMARCA2 SMARCA4 SMARCB1 SMC1A SMC3 SMS SNIP1 SOBP SPTAN1 SRD5A3 SRPX2 ST3GAL3 ST3GAL5 STXBP1 SYNGAP1 SYP TAF2 TBC1D24 TBCE TBL1XR1 TCF4 TCTN1 TCTN2 TECR TK2 TMCO1 TMEM138 TMEM216 TMEM237 TMEM67 TPP1 TRAPPC9 TSC1 TSPAN7 TTC21B TTI2 TUBA1A TUSC3 UBE2A UBE3A UPF3B USP9X VLDLR WDR62 WDR81 WWOX ZBTB16 ZCCHC12 ZDHHC15 ZDHHC9 ZEB2 ZMYND11 ZNF41 ZNF674 ZNF711 ZNF81
GL-000083	Arrhythmias and adrenal hyperplasia_CE 67	ABCC9 ACTC1 AKAP9 ANK2 ANK3 CACNA1C CACNA1D CACNA2D1 CACNB2 CALM1 CASQ2 CAV3 CYP11A1 CYP11B1 CYP17A1 CYP21A2 DES DSC2 DSG2 DSP EMD GJA5 GLA GNAS GPD1L HSD3B2 JUP KCNA5 KCND3 KCNE1 KCNE1L KCNE2 KCNE3 KCNH2 KCNJ2 KCNJ5 KCNJ8 KCNQ1 LAMP2 LMNA MYBPC3 MYH6 MYH7 MYL2 MYL3 NKX2 NPPA NUP155 PKP2 POR PRKAG2 RANGRF RYR2 SCN1B SCN2B SCN3B SCN4B SCN5A STAR TMEM43 TNNC1 TNNI3 TNNT2 TPM1 TRDN TRPM4 TTR
GL-000085	Leber congenital amaurosis and achromatopsia_CE 32	AIPL1 ATF6 CACNA1F CEP290 CNGA3 CNGB3 CNNM4 CRB1 CRX GNAT2 GUCY2D IMPDH1 IQCB1 KCNJ13 KCNV2 LCA5 LRAT MFSD8 NBAS NMNAT1 NPHP1 OPN1LW OPN1MW PDE6C PDE6H RD3 RDH12 RPE65 RPGR RPGRIP1 SPATA7 TULP1
GL-000086	Organic acidemias and Leigh syndrome_CE 73	ABCD4 ACAT1 ACSF3 APTX ASL BCKDHA BCKDHB BCS1L BTD C7ORF10 CD320 COX10 COX15 COX6B1 DBT DLD ETFA ETFB ETFDH FOXRED1 GCDH HLCS HMGCL IVD L2HGDH LMBRD1 LRPPRC MCCC1 MCCC2 MCEE MLYCD MMAA MMAB MMACHC MMADHC MTFMT MTR MUT NDUFA1 NDUFA10 NDUFA11 NDUFA12 NDUFA2 NDUFA9 NDUFAF1 NDUFAF2 NDUFAF5 NDUFAF6 NDUFS1 NDUFS2 NDUFS3 NDUFS4 NDUFS7 NDUFS8 NDUFV1 NUBPL OXCT1 PC PCCA PCCB PDHA1 PDHB PDSS2 SCO1 SDHA SDHAF1 SLC19A3 SUCLA2 SUCLG1 SURF1 TACO1 TCN2 TSFM
GL-000087	Neurodevelopmental disorders and lissencephaly_NP 315	AARS ABCC8 ABCC9 ACTB ACTG1 ADAR ADRA2B ADSL AFG3L2 AGTR2 AHI1 AKT3 ALDH7A1 ALG12 ALG13 AMT AP4M1 ARFGEF2 ARID1A ARL13B ARSB ASAH1 ASNS ASPA ASPM ATP13A2 ATP1A2 ATP1A3 ATP6AP2 ATP8A2 ATR ATRX BANF1 BRAF BRAT1 BRWD3 BUB1B CA8 CACNA1A CACNA1G CACNA1H CACNB4 CASC5 CASK CASR CBL CC2D2A CDC6 CDK5RAP2 CDKL5 CDT1 CENPJ CEP135 CEP152 CEP290 CEP63 CHD2 CHRNA7 CHRNB2 CLCN2 CLN3 CLN5 CLN6 CLN8 CNTNAP2 COL4A1 COL6A2 CPA6 CRH CSTB CTSD CUL4B D2HGDH DCX DIAPH1 DKC1 DNAJC5 DNM1 DNM1L DPP6 DRD2 DYNC1H1 DYRK1A EFHC1 EFTUD2 EIF2B5 EMG1 ERCC2 ERCC4 ERCC6 ERCC8 ESCO2 EXOSC3 EZH2 FARS2 FASN FGFR3 FIG4 FKRP FKTN FLNA FOLR1 GABBR1 GABRA1 GABRA6 GABRB3 GABRD GABRG2 GALNS GATM GCDH GFAP GLB1 GLDC GLI3 GNS GOSR2 GPC3 GPHN GRIK2 GRIN1 GRIN2A GRIN2B GRN GUSB HCN1 HEPACAM HGSNAT HNRNPU HRAS HSD17B10 IDH2 IDS IDUA IER3IP1 IFIH1 IGF1R INPP5E IQSEC2 ISPD JRK KANSL1 KAT6B KCNA1 KCND2 KCNH2 KCNJ10 KCNJ2 KCNMA1 KCNQ2 KCNQ3 KCTD7 KIAA2022 KIF11 KIF7 KRAS L1CAM L2HGDH LAMB1 LARGE LGI1 LIAS LMNA LMNB2 MAGI2 MAP2K1 MAP2K2 MBD5 MCPH1 MECP2 MED12 MED17 MEF2C MFSD2A MFSD8 MLC1 MOCS1 MSMO1 MTHFR NBN NDE1 NEB NEDD4L NEU1 NFIX NHEJ1 NHLRC1 NID1 NIPBL NR2E1 NR2F1 NRXN1 NSD1 OCLN OFD1 OPA1 OPHN1 ORC1 ORC4 ORC6 PAFAH1B1 PAX6 PCDH19 PCDHB4 PCNT PHF6 PHGDH PIGA PIGN PIGO PIGV PIK3CA PMM2 PNKP PNPO POLG POMGNT1 POMT1 POMT2 PPP1R3C PPT1 PQBP1 PRICKLE1 PRICKLE2 PRRT2 PSEN1 PTCH1 PTCH2 PTEN RAB18 RAB3GAP1 RAB3GAP2 RAD21 RARS2 RBBP8 RBFOX1 RELN RIN2 RNASEH2A RNASEH2B RNASEH2C RNF135 ROGDI ROR2 RPGRIP1L RPL10 RPS6KA3 RYR3 SACS SAMHD1 SCARB2 SCN1A SCN1B SCN2A SCN3A SCN4A SCN5A SCN8A SCN9A SEPSECS SERPINI1 SGSH SLC25A19 SLC25A22 SLC2A1 SLC6A1 SLC9A6 SMARCA4 SMARCB1 SMARCE1 SMC1A SMC3 SNIP1 SNX10 SPTAN1 SRPX2 ST3GAL3 ST3GAL5 STIL STXBP1 SUFU SYNE1 SYNGAP1 TAF2 TBC1D24 TBL1XR1 TCF4 TCIRG1 TCTN2 TK2 TMEM216 TMEM67 TPP1 TRAPPC9 TREX1 TSC1 TSEN2 TSEN34 TSEN54 TUBA1A TUBB3 TUBGCP4 TUBGCP6 UBE3A UPF3B USP9X VLDLR VPS13B VRK1 WDR62 WDR81 WWOX YWHAE ZEB2 ZIC1
GL-000088	Hyper-IgE syndrome and cystic fibrosis_CE 6	CFTR DOCK8 DSG1 SPINK5 STAT3 TYK2
GL-000094	Hereditary breast, ovarian, gynecological and gastrointestinal cancer predisposition test 27	APC ATM BMPR1A BRCA1 BRCA2 BRIP1 CDH1 CDKN2A CHEK2 EPCAM KIT MET MLH1 MSH2 MSH6 MUTYH NBN PALB2 PMS2 PTEN RAD51C RAD51D SDHB SDHC SMAD4 STK11 TP53
GL-000095	Hereditary breast, ovarian, gastrointestinal and renal cancer predisposition test 33	APC ATM BMPR1A BRCA1 BRCA2 BRIP1 CDH1 CDKN2A CHEK2 EPCAM FH FLCN KIT MET MLH1 MSH2 MSH6 MUTYH NBN PALB2 PMS2 PTEN RAD51C RAD51D SDHB SDHC SMAD4 STK11 TP53 TSC1 TSC2 VHL WT1
GL-000096	Hereditary gastrointestinal cancer, gynecological cancer and inherited cancer syndrome predisposition test 36	APC ATM BMPR1A BRCA1 BRCA2 BRIP1 CDH1 CDKN2A CHEK2 EPCAM KIT MEN1 MET MLH1 MSH2 MSH6 MUTYH NBN NF1 NF2 PALB2 PMS2 PTEN RAD51C RAD51D RET SDHB SDHC SDHD SMAD4 STK11 TP53 TSC1 TSC2 VHL WT1
GL-000097	Hereditary breast, ovarian, gastrointestinal and endocrine cancer predisposition test 34	AIP APC ATM BMPR1A BRCA1 BRCA2 BRIP1 CDC73 CDH1 CDKN2A CHEK2 EPCAM KIT MEN1 MET MLH1 MSH2 MSH6 MUTYH NBN PALB2 PMS2 PTEN RAD51C RAD51D RET SDHAF2 SDHB SDHC SDHD SMAD4 STK11 TP53 VHL
GL-000098	CHD_temp 40	ABCC9 ACTC1 ACVR2B ANKRD1 BCOR BRAF CBL CFC1 CITED2 CRELD1 DTNA ECE1 ELN GJA1 HAND1 JAG1 KRAS LEFTY2 MED13L MGP MYH6 NKX2 NKX2 NODAL NOTCH1 NOTCH2 PTPN11 SHOC2 SHOX SHOX SOS1 STRA6 TAB2 TBX20 TBX5 TFAP2B TLL1 WDPCP ZFPM2 ZIC3
GL-000099	Hereditary retinoblastoma predisposition test 1	RB1
